,Movie,Year,Duration,Rating,Voting,Description
1558,Maaveeran Kittu,2016,2h 1m,6.5,308,"<div class=""ipc-html-content-inner-div"">A warrior struggles to uphold the rights of the Tamil people.</div>"
1559,Oru Naal Koothu,2016,2h 21m,6.8,584,"<div class=""ipc-html-content-inner-div"">Oru Naal Koothu addresses marriage from the perspectives of different people. The story is based on the experiences of the director and focusses on issues related to a wedding.</div>"
1560,Rewind,2021,2h 3m,6.1,700,"<div class=""ipc-html-content-inner-div"">When a crime reporter's daughter goes missing and the police reach a dead end, he resorts to using lucid dreams to track her down with the help of his wife, a scientist.</div>"
1561,54321,2016,2h,5.8,55,"<div class=""ipc-html-content-inner-div"">5 People, 4 Lifestyles, 3 Murders, 2 Hours, 1 Revenge. The story takes around 5 persons who are interconnected through life situations, plotted in a house.</div>"
1562,Pirandhal Parasakthi,Nil,Nil,Nil,Nil,
1563,Muthuramalingam,2017,2h 17m,1.7,296,"<div class=""ipc-html-content-inner-div"">An inter-village martial arts competition drives the plot of this action-packed tale.</div>"
1564,Untitled S.U,Nil,Nil,Nil,Nil,
1565,Nireekshana,1982,Nil,7.6,117,"<div class=""ipc-html-content-inner-div"">A forest officer sentenced for 20years who loved a tribal girl in forest.</div>"
1566,Vettri,2021,Nil,Nil,Nil,
1567,Sughamaai Subbulakshmi,2018,Nil,8.7,14,
1568,Ilamai Oonjal Aadukirathu,1978,2h 21m,7.1,136,"<div class=""ipc-html-content-inner-div"">Best friends fall in love with the same woman.</div>"
1569,En 6 Vaathiyaar Kaalpanthatta Kuzhu,2023,2h 3m,8.5,134,"<div class=""ipc-html-content-inner-div"">Vathiyar raises his voice against the authorities to change the fate of a good person but ends up sacrificing his life for their future welfare.</div>"
1570,Mattukkara Velan,1970,2h 53m,6.9,38,"<div class=""ipc-html-content-inner-div"">The story of lookalikes Raghu and Velan.</div>"
1571,Krishna Leelai,2010,Nil,5.9,12,"<div class=""ipc-html-content-inner-div"">Selvan admits that the protagonist's characterization is similar to Lord Krishna who had curtailed the bad elements in the society.</div>"
1572,Singam Puli,2011,2h 20m,4.4,217,"<div class=""ipc-html-content-inner-div"">A misunderstood man finally seeks justice for the misdeeds of his twin brother.</div>"
1573,Atcham Thavir,2018,Nil,8.6,26,"<div class=""ipc-html-content-inner-div"">A group of friends with a pair of twin sisters, make their days for an event of their friend's destiny wedding far away, through the journey back from the wedding, everyone has their personal wish to be grant for, but senario changed when their car broke down in middle of nowhere, they asked for help from a lorry driver who's with his family on the way to their home, the group has settle at the lorry driver home, but there is unsettled things in one of the room at their home, find out more by watching the movie, since i halfway through the movie and it's interesting.</div>"
1574,Rule Number 4,2023,Nil,9.2,129,"<div class=""ipc-html-content-inner-div"">In a race against time for survival, a daring ATM van driver must outsmart ruthless dacoits and corrupt officials to rescue his love, her father, and a pregnant stranger.</div>"
1575,Anandham Vilayadum Veedu,2021,2h 27m,4.9,144,"<div class=""ipc-html-content-inner-div"">Story evolves around two sets of half brother's. Periya aambala married twice and he got lots of children from both wife's. Saravanan and his siblings from the first wife, Cheran and siblings from the second. Saravanan decides to build a house with Cherans support so both families can live together. The villain in the village who have rift with the brothers decides to destroy them. Did the brothers succeed in there quest? This movie tell you the story with lots of emotions and a great cast</div>"
1576,Oyee,2016,2h 7m,5.7,52,"<div class=""ipc-html-content-inner-div"">A 20 something girl who is out on parole for her sister's wedding, gets entangled in confusion after her visit to a joint family.</div>"
1577,Dharma Devathai,1986,2h 17m,6.4,10,"<div class=""ipc-html-content-inner-div"">Dharma Devathai is Action oriented Tamil Movie. Vijayakanth is brother of Sarath Babu and works in a school. Sarath Babu is the Union Leader for factory and often fights with Jai Ganesh for employee's benefits. Jai Ganesh kills Sarath Babu. After his brother's death how Vijayakanth along with Radhika (Sarath Babu's wife) takes revenge against Jai Ganesh is the rest of the narration.</div>"
1578,Black n White,2023,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Siblings Rishi and Ritu lose their parents to COVID-19 and their home due to debt. Despite sincere efforts, their struggle to reclaim their home forms the heart of the narrative.</div>"
1579,Thennavan,2003,2h 26m,7.5,27,"<div class=""ipc-html-content-inner-div"">Thennavan (Vijayakanth) is an honest and upright IAS officer and he is handpicked by the Prime Minister of India to be the Chief Election Commissioner of India. His first assignment is conducting the Indian general election in Tamil Nadu and for the election, he suggests passing five laws in order to fix the electoral system. Thennavan quickly gains the support of the public. The current Chief Minister of Tamil Nadu Ilanthiraiyan (Nassar), a corrupt and greedy politician who wants to win the next election, successfully convinces the Prime Minister to not pass the five laws. In the meantime, Divya (Kiran Rathod) falls in love with Thennavan and tries to convince him to marry her. To win the election, Ilanthiraiyan orders Mustafa (Thalaivasal Vijay) to plant a bomb during one of his public meetings. As he expected, the bomb kills many innocent people. Ilanthiraiyan blames his enemies to have planned it and gains sympathy from the voters. During the polls, Thennavan finds out about the sham and stops the vote counting. An angry Ilanthiraiyan takes the matter to court. In court, Thennavan provides uncontested evidence and the culprits including Ilanthiraiyan are sentenced to life imprisonment. Divya eventually marries her lover Thennavan. With Ilanthiraiyan in jail, his naive wife Pushpalatha (Urvasi) replaces him as the new chief minister and bails him out of jail. Thennavan is then arrested but Pushpalatha makes him release due to public pressure. After a small quarrel with her husband, Pushpalatha resigns from her function and her government is dismissed by the governor. With the election campaign going on full swing, Thennavan resigns from his position. He then holds a public meet: he urges the voters to boycott the election to save the country from corrupt politicians and to stop people who will try to vote. The day of the election, not a single vote has been cast and it is well received by the public. The prime minister praises Thennavan for his achievement and accepts to pass the five laws.</div>"
1580,Rum,2017,2h 11m,4.1,146,"<div class=""ipc-html-content-inner-div"">A group of high-tech thieves runs away after a heist. They hide out in an old house, only to find that the house is haunted.</div>"
1581,White Haired Princess,2022,1h 14m,5.9,13,"<div class=""ipc-html-content-inner-div"">Near the end of the Ming Dynasty, the Emperor is seriously ill and during these turbulent times, Eunuch Wei of the Eastern Depot tries to seize power. The Wudang Sect is ordered to bring the red pill to the Emperor to treat his illness.</div>"
1582,My Dear Lisa,2022,2h,4.9,43,
1583,Paramasivan,2006,2h 40m,4.2,890,"<div class=""ipc-html-content-inner-div"">Subramania is sentenced to death for killing six policemen who were responsible for the murder of his father and sister. But officer Nandakumar decides to use his help to eradicate a terrorist group.</div>"
1584,Saraswathi Sabatham,1966,2h 39m,7.7,142,"<div class=""ipc-html-content-inner-div"">Sage Naradha creates a dispute between three goddesses Saraswathi, Parvathi and Lakshmi, about who is the most powerful of them. Three of them accepts the challenge to prove their ability. Who wins the challenge ?</div>"
1585,Vanakkam Da Mappilei,2021,2h 42m,4.3,240,"<div class=""ipc-html-content-inner-div"">Mariner Aravind, enjoys a happy-go-lucky life with 6 months at sea and 6 months on land. He falls in love with Thulasi, who doesn't reciprocate his love. Eventually love blossoms between them, but trouble begins when Aravind's silly mistake from the past, catches up with him.</div>"
1586,Medhavi,Nil,Nil,Nil,Nil,
1587,The Nudity,2020,1h 20m,5.3,18,"<div class=""ipc-html-content-inner-div"">Trans women consider the Milk Function their most important Ritual.this documentary speaks about the milk function and sex reassignment surgery(SRS) for trans women</div>"
1588,Kuttram Kadithal,2015,2h,7.9,801,"<div class=""ipc-html-content-inner-div"">A teacher gets into trouble and faces a crisis of faith.</div>"
1589,Nedunchalai,2014,2h 19m,6.5,332,"<div class=""ipc-html-content-inner-div"">A highway robber reexamines his life as a cop is out to nail him.</div>"
1590,Saravanan Irukka Bayamaen,2017,1h 57m,3.1,243,"<div class=""ipc-html-content-inner-div"">Saravanan, a lackadaisical man, finds his life turned upside down when he is accidentally made the local head of a political party. Later, he shamelessly uses his status to woo the girl he loves.</div>"
1591,Kidaari,2016,2h 20m,6.3,186,"<div class=""ipc-html-content-inner-div"">This is the action-packed story of a hot-headed protagonist looking to solve the murder of his godfather. There are multiple suspects, each of whom has strong motives for the deed.</div>"
1592,Asthivaram,1982,Nil,Nil,Nil,
1593,Payanam,2011,1h 55m,7.3,887,"<div class=""ipc-html-content-inner-div"">The movie deals with the stance of the government officials on such a serious issue and how a belated decision will make a situation worse, in an already edgy circumstance.</div>"
1594,AquaTales,2012,1h 14m,3.4,106,"<div class=""ipc-html-content-inner-div"">When space mutants from his favorite comic books come to life and threaten all ocean life, 10-year-old Opil must team up with a heroic captain and his mischievous daughter to save the sea.</div>"
1595,Payanigal Gavanikkavum,2022,1h 55m,7.2,172,"<div class=""ipc-html-content-inner-div"">Exhausted Ezhilan snoozes on the metro train. Antony captures this moment and uploads the picture on social media with a caption saying ""drunkard on a public transport"".</div>"
1596,Nagesh Thiraiyarangam,2018,2h 8m,6.5,105,"<div class=""ipc-html-content-inner-div"">A real estate broker tries to sell a theater which is haunted by a ghost.</div>"
1597,Theethum Nandrum,2021,2h 23m,6.2,144,"<div class=""ipc-html-content-inner-div"">Two friends, who earn money illegally through burglary, decide to bid farewell to crimes. But fate had other plans for them</div>"
1598,Patra Vaitha Nerupondru,2020,2h 14m,6.5,128,"<div class=""ipc-html-content-inner-div"">The movie revolves around the murder of a delivery boy. And more murders happen. After some serious probing, it is suspected that a huge mafia network behind these murders. How the culprits are tracked down is the rest of the movie.</div>"
1599,PT Sir,Nil,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">It follows a young teacher as he attempts to introduce unique physical activities to school children.</div>"
1600,Velli Megham,Nil,Nil,Nil,Nil,
1601,Ullasa Paravaigal,1980,2h 6m,6.7,99,"<div class=""ipc-html-content-inner-div"">Ullasa Paravaigal is a Tamil language film starring Kamal Haasan in the lead role. The movie has evergreen songs that are murmured even today. The movie was a hit at the box office. This film has been dubbed into Telugu as Prema Pichi and in Hindi as Do Dil Deewane.</div>"
1602,Uyir,2006,Nil,4.5,39,
1603,Valiyavan,2015,2h 20m,5.3,260,"<div class=""ipc-html-content-inner-div"">Viond, who is madly in love with Subiksha, is challenged by her that he fight and win Ashwin, a boxing champion. He accepts her challenge to not only prove his love but also settle an old score.</div>"
1604,Kangalal Kaidhu Sei,2004,2h 24m,4.5,115,"<div class=""ipc-html-content-inner-div"">Vaseegaran inherits huge fortune from his parents but when they die, it doesnt bother him much as he was never cared for by his money-obsessed parents.</div>"
1605,Blood Money,2021,1h 30m,6.4,392,"<div class=""ipc-html-content-inner-div"">2 brothers from India working in Kuwait are sentenced to death penalty for killing an srilankan women. Day before there hanging the news breakout in an Indian news channel by a lady reporter. Then the plot evolves around the reporter, accused family and the family of the srilankan women got killed in Kuwait. The reporter tries to save the brothers by stopping the punishment. Did she succeed in her fight?</div>"
1606,My Friend Ganesha 2,2008,1h 57m,5.5,90,"<div class=""ipc-html-content-inner-div"">A lonely boy, Vashu, gets his new friend, Ganesha, and adventures begin.</div>"
1607,Neruppuda,2017,2h 7m,4.5,155,"<div class=""ipc-html-content-inner-div"">Vikram Prabhu stars as a firefighter, who is also a hardcore Rajinikanth fan, in this film directed by B. Ashok Kumar.</div>"
1608,Kalyaana Kachcheri,1987,2h 11m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Kalyana Kacheri is a 1987 Indian Tamil film, directed by Manivannan and produced by E.V.Rajan, M.Suryanarayanan and PC.Balakrishnaraja. The film stars Arjun and Ilavarasi in lead roles. The film had musical score by Ilaiyaraaja.</div>"
1609,Rajakili,2023,2h 2m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">A man who has enough wealth and possessions, that changes abruptly due to his karma.</div>"
1610,Kathanayagan,2017,2h 2m,4.5,251,"<div class=""ipc-html-content-inner-div"">The romantic comedy stars Vishnu and Catherine Tresa as a loving couple. Vishnu's character faces a problem, however, as he has to try hard to win the approval of his girlfriend's father.</div>"
1611,Kasthuriman,2003,2h 21m,6.8,376,"<div class=""ipc-html-content-inner-div"">A newly appointed IAS officer (Kunchako Boban) recalls about the love of his life.</div>"
1612,Meendum Kokila,1981,2h 19m,6.3,137,"<div class=""ipc-html-content-inner-div"">Subramaniam, a lawyer is married to Kokila and has a daughter. Things go well until he meets Kamini, a movie star in a party. He gets attracted towards Kamini and becomes ready to sacrifice his own family for her. Kokila's efforts in bringing back her husband forms the rest of the story.</div>"
1613,Ratsasan 2,Nil,Nil,Nil,Nil,
1614,Munthirikkaadu,2023,Nil,7.4,22,"<div class=""ipc-html-content-inner-div"">In a Village Kill Love couples of the opposite cast and in that village A couple from opposite cast who used to friends are getting pressure from village people that they love each other. What happens at the End?</div>"
1615,Maanavan,1970,2h 10m,6.7,9,"<div class=""ipc-html-content-inner-div"">Maanavan is a Tamil language Social Satirical film was directed by M. A. Thirumugam and produced by Sandow M. M. A. Chinnappa Thevar under his productions Dhandayudhapani Films. The script was written by Balamurugan. Music by Shankar - Ganesh assets to the film. The film starring Jaishankar and Muthuraman lead with Sowcar Janaki, Lakshmi, Nagesh, and Sachu played pivotal roles. Kamal Haasan appears only for a dance sequence along with Kutty Padmini. This was Kamal Haasan's first adult role after a 7-year hiatus. The film also marks the debut of many character actors and comedians like Pandu, Kathadi Ramamurthy among others.</div>"
1616,Chinna Marumagal,1992,Nil,6.6,11,
1617,90 Ml,2019,2h,3.3,622,"<div class=""ipc-html-content-inner-div"">Four girls, who are bored of their mundane lives, get a new lease of life when they befriend a practical and progressive girl.</div>"
1618,Sri Raghavendra,1985,2h 33m,7.1,238,"<div class=""ipc-html-content-inner-div"">This film is the life of Sri Raghavendra. From Birth till his Mahasamadhi has been portrayed by Rajinikanth. The film highlights some of the miracles Sri Raghavendra performed.</div>"
1619,Palaandu Vaazhga,Nil,Nil,Nil,Nil,
1620,Panakkaran,1990,2h 27m,6.8,370,"<div class=""ipc-html-content-inner-div"">The illegitimate son of a rich man and a singer is raised by a poor drunkard. Before he can commit to the girl he loves, he wants to find out who his parents really are. Will the drunkard help him?</div>"
1621,Yennamo Yedho,2014,2h 23m,3.8,139,"<div class=""ipc-html-content-inner-div"">Gautam and Nithya become friends. Will the friends turn lovers?</div>"
1622,Thuppakki Munai,2018,2h 8m,6.3,471,"<div class=""ipc-html-content-inner-div"">An encounter specialist's success in hunting down and eliminating criminals takes him to the holy city of Rameshwaram, where he will face the biggest threat of his career.</div>"
1623,Inimey Nangathan,2007,Nil,7.5,33,
1624,Kalloori,2007,2h 20m,7.4,501,"<div class=""ipc-html-content-inner-div"">A group of nine childhood friends join an arts college together in a small town. Soon, Shobana becomes a part of their group, joining in the fun and games. Muthu eventually falls in love with her.</div>"
1625,Aayirathil Iruvar,2017,2h 38m,4.5,35,"<div class=""ipc-html-content-inner-div"">Written, directed and produced by Saran, the movie features Vinay in dual lead roles, accompanied by three newcomers: Samuthrika, Swasthika and Kesha Khambhati. It focuses on a large scale money laundering and hawala money transaction.</div>"
1626,Virudhagiri,2010,2h 23m,4.9,42,"<div class=""ipc-html-content-inner-div"">Virudhagiri is a 2010 Indian Tamil action film written and directed by Vijayakanth, making his directorial debut, besides playing the title character as well.The film, co-starring Madhuri Itagi, Arun Pandian and Mansoor Ali Khan among others, released on 10 December 2010. The film is a remake of the English movie Taken.</div>"
1627,Radhai Ketra Kannan,1978,Nil,3.9,12,
1628,Kannupada Poguthaiya,2000,2h 35m,5.6,59,"<div class=""ipc-html-content-inner-div"">Vetrivel, a much respected man, dearly loves his brother. He sacrifices his love when his brother falls for the same girl. But the latter begins to suspect Vetrivel of having an affair with his wife.</div>"
1629,Engeyo Ketta Kural,1982,2h,7.6,91,"<div class=""ipc-html-content-inner-div"">Ponni wants to live a lavish life but gets married to her cousin Kumaran. Her love for worldly pleasures makes her abandon Kumaran and her daughter for a richer man.</div>"
1630,Idu Namma Alu,1988,2h 46m,7.3,123,"<div class=""ipc-html-content-inner-div"">A poor graduate marries a priest's daughter, but their differing social background causes strife between them.</div>"
1631,Mirattal,2012,Nil,5.5,66,"<div class=""ipc-html-content-inner-div"">The story of a fun-loving boy Bablu and his humorous love tale with a don Shankar Dada's sister Deepika.</div>"
1632,Sivaranjiniyum Innum Sila Pengalum,2019,2h 3m,7.0,258,"<div class=""ipc-html-content-inner-div"">Tamil anthology film exploring the lives of 3 women across 3 time periods.</div>"
1633,Leelai,2012,2h 25m,6.8,307,"<div class=""ipc-html-content-inner-div"">A guy who is just a flirt, finds his true love and has to change his identity to make it a success.</div>"
1634,Kombu Vatcha Singamda,2022,2h 13m,4.6,214,"<div class=""ipc-html-content-inner-div"">Six friends, who follow Periyar's ideologies, fall prey to the local caste politics that happens in their hometown. Who is the reason behind this and what happens after?</div>"
1635,Powder,2022,Nil,9.0,36,
1636,Pothanur Thabal Nilayam,2022,Nil,7.5,416,"<div class=""ipc-html-content-inner-div"">Ambitious entrepreneur Praveen who has only 36 hours to find a stolen money to save his family.</div>"
1637,Ra,2014,Nil,5.4,118,"<div class=""ipc-html-content-inner-div"">Ra which means to Take away in Ancient Tolkappiyam , an apt title for the film which revolves around the lead character Ajay and his quest to find answers to the unsolved mystery in his life. Confused and baffled by the events happening around him, he is unsure if he is awake or still dreaming. With a deep intense meaning to all the occurrences around him, will he be able to break the shackles and come out victorious or succumb to the Devious foul play that is his mind itself is the Plot of the Movie .</div>"
1638,Thirumagan,2007,2h 16m,5.5,21,"<div class=""ipc-html-content-inner-div"">Thangapaandi (S.J. Suryah) is the son of Mannachaami, who is financially mediocre but well respected and loved in the village of Tirunelveli. Thangapaandi is immature and spends his time gallivanting about the village and dancing at temple functions, while failing his plus two examinations with regularity every year. His niece Rasathi (Preethi Varma) is in love with him, as their parents have informally promised them to each other from childhood. However, Thangapaandi pursues his own agenda and falls for loud-mouthed orphan girl Ayyakka (Meera Jasmine), who makes and sells pots for a living. Thangapaandi, despite his lack of a regular job or prospects, appears to be the village's most sought-after bachelor. In the midst of this love 'square', the elders add their own two cents of interference, causing more chaos. How Thangapaandi and his ladies deal with this is the fodder for the rest of the film.</div>"
1639,Thambikottai,2011,2h 30m,3.9,58,"<div class=""ipc-html-content-inner-div"">Azhagiri (Narain) and his sister Shanmughapriya (Meena) are siblings who live only for each other. Azhagiri is a student and his sister is a lecturer. Saissa (N. Santhanam) and the crew form his sidekicks and Valayapatti (M. S. Bhaskar) is their professor, who invariable falls quarry to Saissa's unwitting jokes and intentional pranks. Azhagiri goes to Thambikkotai on an NSS field trip. There he falls in love with Kanaga (Poonam Bajwa). who is the daughter of Amirthalingam (Rajendran), a rich don of the village. Amirthalingam tries to kill government officers who want to repair a damaged bridge that connects the village with the outside world. The village has a connection to Azhagiri, his sister and their dead father, Shanmugam (Prabhu).</div>"
1640,Miss Maggie,Nil,Nil,Nil,Nil,
1641,Pattinathar,1962,2h 17m,7.1,22,"<div class=""ipc-html-content-inner-div"">Life of a man changes when he realizing the truth.</div>"
1642,Kizhakku Vasal,1990,2h 24m,6.9,87,"<div class=""ipc-html-content-inner-div"">A young orphaned girl is taken care of by a prostitute, when she grows up; she falls in love with a young man in the village. But, the village head also likes her and tries to separate them; but they fight him and stay together.</div>"
1643,Kai Varisai,1983,2h 7m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Watch the full movie, Kaivarisai online, only on Eros Now. Kaivarisai is a 1933 Indian Tamil film, directed by Prem Kumar.The film stars Jai Shankar and Seema in lead roles. The film had musical score by Shankar Ganesh.</div>"
1644,Kinnerasani,2022,1h 20m,7.1,100,"<div class=""ipc-html-content-inner-div"">Veda finds a book that holds the key to her past, present and future. Meanwhile, Venkat, a lawyer wants to avenge his lover's death. Venkat helps Veda to protect them both from an uncertain future.</div>"
1645,Joshua: Imai Pol Kaka,Nil,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">The tale of a bodyguard who has to look after and protect a high-profile woman who comes to Chennai from London.</div>"
1646,Boomerang,2019,2h,5.6,529,"<div class=""ipc-html-content-inner-div"">A guy who gets a face transplant done, following a fire accident, realises many are after his life. He sets out to find the reason for the same.</div>"
1647,Birthmark,Nil,Nil,Nil,Nil,
1648,Ji,2005,2h 52m,4.1,745,"<div class=""ipc-html-content-inner-div"">Vasu wants to contest in the college elections but is forced to withdraw in favour of the local MLA's son. But when the MLA's goons bash him up, he decides to fight and take on the brutes.</div>"
1649,Veppam,2011,1h 48m,4.8,183,"<div class=""ipc-html-content-inner-div"">We meet three friends living in the slums in the Chennai area.</div>"
1650,Marupadiyam,1993,2h 18m,7.6,124,"<div class=""ipc-html-content-inner-div"">Marupadiyum is an emotional and psychological drama that focuses on the central female protagonist, a wife caught up in marital discord played by Revathi and her life henceforth. Revathi is married to Ravi, a movie director who has an extra marital affair with his star heroine, played by Rohini. Revathi discovers this intimacy between her husband and Rohini but is treated with indifference by her husband. Ravi moves on to get a divorce from Revathi. Revathi pleads with Ravi not to proceed with the divorce and asks Rohini to leave her husband but both disagree to do so. Arvind Swamy, a stranger, helps and befriends Revathi after she leaves her husband. Rohini faces mental anguish as she feels guilty with another woman's husband and becomes psychologically affected. Ravi ends up in dilemma between his wife and his lover. (Aravind Swamy) turns into a dependable friend and asks Revathi to marry him but Revathi has to choose her own path.[2]</div>"
1651,Karungali,2011,2h 32m,5.8,16,"<div class=""ipc-html-content-inner-div"">Karungaali is a Tamil film directed by Mu. Kalanjiam. Kanimozhi, a doctor by profession, is drawn to the Ravi because of his life-saving act and ultimately decides to marry him. When Ravi hears about the good-looking patient Amudhanila and her 'inability' to give birth to a child. Ravi's evil mind springs back to have sex with Amudha. He gets close to her pretending to be the doctor's assistant.</div>"
1652,Jarugandi,2018,2h 13m,5.3,161,"<div class=""ipc-html-content-inner-div"">A middle class youngster wants to make quick money and lands in a mess.</div>"
1653,Pottu,2019,2h,2.6,112,"<div class=""ipc-html-content-inner-div"">A medical college student get possessed by a ghost that wants to take revenge on the college's dean.</div>"
1654,Adho Andha Paravai Pola,2022,Nil,7.1,22,"<div class=""ipc-html-content-inner-div"">A kind of Forest survival story of a women and 2 kids against some antagonists.</div>"
1655,VJS51,Nil,Nil,Nil,Nil,
1656,Goripalayam,2010,2h 36m,5.7,29,"<div class=""ipc-html-content-inner-div"">Story about the gang of care free friends and their fall due to their character</div>"
1657,Karmegam,2002,2h 18m,6.1,41,"<div class=""ipc-html-content-inner-div"">A military officer returns home to find his village stuck in the past, under the thumb of an abusive landlord. He urges them to revolt against their oppressor. But a dark secret hinders his mission.</div>"
1658,Padaippalan,2022,1h 43m,4.2,11,
1659,Irumbukkottai Murattu Singam,2010,2h 23m,5.8,385,"<div class=""ipc-html-content-inner-div"">A story of mistaken identities in 17th century.</div>"
1660,Ladies and Gentlewomen,2017,47m,9.4,47,"<div class=""ipc-html-content-inner-div"">The documentary narrated the tale of Tija and Bija, a lesbian couple, believed to be from Rajasthan and also about a Tamil folktale that features the lovers Pappathi and Karupaayi . Apart from these stories, the film also had a song, ""Lesbian Anthem"" and activists, lawyers, journalists, counselors talking about the country's current situation when it comes to Lesbian women.</div>"
1661,Naan Aval Adhu,2008,Nil,5.4,26,
1662,Racer,2023,2h 2m,8.4,70,"<div class=""ipc-html-content-inner-div"">Ashwin, who has aspired to become a professional bike racer since childhood, faces rejection from his father to racing. Will Ashwin follow his dream when he gets a chance to race.</div>"
1663,Lottery Ticket,1982,1h 59m,4.6,7,
1664,Haraa,2022,Nil,Nil,Nil,
1665,Kattappava Kanom,2017,2h 5m,5.4,146,"<div class=""ipc-html-content-inner-div"">Kattapava Kaanom is a dark comedy film that revolves around a newlywed couple and their pet ish Kattappa, which brings luck whoever owns it.</div>"
1666,Veerapandiyapuram,2022,1h 59m,5.2,126,"<div class=""ipc-html-content-inner-div"">An orphan murders his girlfriend's father and his brothers. What made him seek out this bloody revenge?</div>"
1667,Muran,2011,1h 43m,6.3,300,"<div class=""ipc-html-content-inner-div"">After finishing a successful meeting with his movie producers in Bangalore, Nanda, a jingles composer catches the highway to Chennai. On his way his car breaks down and he hitchhikes with Arjun, a businessman's son on his way to the same destination. During their journey together they discuss their personal lives till Arjun proposes a deal; a deal that is marked with murder but promises to better their personal lives. However this deal does not work in Nanda's favor and he soon finds himself in deeper complications.</div>"
1668,Kalavu,2019,Nil,7.3,123,"<div class=""ipc-html-content-inner-div"">Kalavu is a slick, gripping crime thriller drama set in the outskirts of Chennai. A group of three friends are embroiled in a chain snatching crime that they haven't committed. After a night of binge drinking, the three of them playfully escape from the clutches of the cops during their routine checks for 'DD' (drink and drive) cases on the roads. The friends slowly realize the magnitude of the situation and the stress that's in store for them. They face harassment from the cops and have to somehow relieve themselves from the situation.</div>"
1669,rettai kuzhal thuppakki 1989,1989,Nil,Nil,Nil,
1670,Bakrid,2019,2h 1m,7.2,304,"<div class=""ipc-html-content-inner-div"">A man develops friendship with a camel, and has to embark on a journey with the animal.</div>"
1671,Kumki 2,2020,2h 2m,Nil,Nil,
1672,Action,2019,2h 38m,4.6,"1,221","<div class=""ipc-html-content-inner-div"">An agent, sent by the Indian army to observe a terrorist, finds his mission complicated when he discovers undercover agents in his own country.</div>"
1673,Sutta Pazham,2008,2h 10m,4.2,5,"<div class=""ipc-html-content-inner-div"">In Chennai, men and women are mysteriously killed, and the police cannot find a single clue to catch the serial killer. Later, the police cast suspicion on Nandakumar (Mohan), an innocent and single man who runs a resort on the coastal road. They believe that he is a dangerous sexual predator. The police department gives Police Inspector Vandana (Shubha Poonja) the mission of finding enough evidence to convict Nandakumar. Vandana poses as a TV serial dialogue writer and asks Nandakumar for a room in the resort. Nandakumar has no rooms but is under pressure to keep her in his own room in order to gain money and repay his loans.vVandana tries to seduce Nandakumar on multiple occasions by wearing sexy dresses and exposing her body, but she fails every time. Vandana finally realises that Nandakumar is an innocent man who has nothing do with that case, and she falls in love with him. Thereafter, Vandhana finds the culprit: the local church father (R. N. R. Manohar) who lives in a church near the resort of Nandakumar. The church father finds her in his room. He manages to tie her up, and he then confesses the murders. He tells her that he is not a real church father and he killed the victims for having an extramarital affair or premarital sex. In the meantime, Nandakumar is chased by the police, and he enters the church to hide from them. The police then frees Vandana, and she reveals that the fake church father is the killer; thus, the church father is arrested. Nandakumar and Vandana live happily ever after.</div>"
1674,Idhu Kathirvelan Kadhal,2014,2h 36m,4.8,481,"<div class=""ipc-html-content-inner-div"">Kathir, who hates marriage, comes to Coimbatore to resolve a family dispute. There, he falls for Pavithra, a neighborhood girl. But, his dream shatters when he finds that she loves her friend.</div>"
1675,18 Vayasu,2012,Nil,6.0,25,"<div class=""ipc-html-content-inner-div"">The main character Kartik has attraction to forest and animals since he listened to stories of forest, animal, hills etc. from his father. He often acts like animals he sees! Never loved by mother and his dad committed suicide when he was child because his mothers relation with anyother. Though he gets a girls company with help of his friend, he was freaked out with that girls attitude and later he finds his real love with a common indian movie's incident.</div>"
1676,Rayar Parambarai,2023,2h 7m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Rayar Parambarai is a Tamil Movie. It belongs to the genre romantic comedy.</div>"
1677,Mugizh,2021,1h 2m,5.6,346,"<div class=""ipc-html-content-inner-div"">The story is about the relationship between a middle-class family and their beloved dog.</div>"
1678,Men in Blue,2023,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Resistance brews among the Indian immigrants who were stripped of their dignity when a reputed shipyard in Texas conscripted them as guest workers to repair the oil rigs and ships damaged after Hurricane Katrina.</div>"
1679,Pondatti Rajyam,1992,2h 18m,6.7,15,"<div class=""ipc-html-content-inner-div"">A man falls in love with a girl and marries her. After his friend passes away in an accident, the man begins to support his friend's young wife. This sows a seed of suspicion in his wife's mind.</div>"
1680,Varavu Nalla Uravu,1990,2h 19m,8.3,53,
1681,Arul,2004,2h 42m,5.8,666,"<div class=""ipc-html-content-inner-div"">Arul becomes the black sheep of the family after he falsely takes the blame for something his brother had done. Kanmani, his next door neighbour, falls for him. But, Arul does not reciprocate.</div>"
1682,Adhe Neram Adhe Idam,2009,2h 11m,6.0,9,"<div class=""ipc-html-content-inner-div"">Karthik (Jai) falls in love with Janani (Vijayalakshmi). Although she is reluctant at first, she later accepts his love. After Janani's approval, Karthik goes to Australia to finish his education.</div>"
